,d_votes,r_votes
new jersey,2608335,1883274
mississippi,539398,756764
montana,244786,343602
texas,5259126,5890347
north dakota,114902,235595
ohio,2679165,3154834
nebraska,374583,556846
maryland,1985023,976414
arkansas,423932,760647
north carolina,2684292,2758773
new york,5230985,3244798
california,11110250,6006429
tennessee,1143711,1852475
west virginia,235984,545382
south carolina,1091541,1385103
idaho,287021,554119
georgia,2473633,2461854
delaware,296268,200603
alaska,153778,189951
florida,5297045,5668731
minnesota,1717077,1484065
vermont,242820,112704
colorado,1804352,1364607
illinois,3471915,2446891
missouri,1253014,1718736
oklahoma,503890,1020280
kentucky,772474,1326646
maine,435072,360737
washington,2369612,1584651
rhode island,307486,199922
kansas,570323,771406
utah,560282,865140
new hampshire,424921,365654
wisconsin,1630866,1610184
district of columbia,317323,18586
michigan,2804040,2649852
massachusetts,2382202,1167202
louisiana,856034,1255776
new mexico,501614,401894
iowa,759061,897672
hawaii,366130,196864
virginia,2413568,1962430
arizona,1672143,1661686
wyoming,73491,193559
connecticut,1080831,714717
oregon,1340383,958448
pennsylvania,3458229,3377674
south dakota,150471,261043
nevada,703486,669890
alabama,849624,1441170
indiana,1242416,1729519
